日期,AQI,质量等级,PM2.5,PM10,NO2,SO2,CO,O3
2025-01-01,153,中度污染,117.0,127.0,48.0,7.0,1.75,41.0
2025-01-02,132,轻度污染,101.0,116.0,44.0,6.0,1.55,43.0
2025-01-03,118,轻度污染,89.0,106.0,45.0,7.0,1.45,24.0
2025-01-04,189,中度污染,142.0,149.0,45.0,6.0,1.87,17.0
2025-01-05,217,重度污染,167.0,169.0,39.0,4.0,2.02,21.0
2025-01-06,249,重度污染,199.0,209.0,44.0,5.0,2.48,13.0
2025-01-07,242,重度污染,192.0,212.0,53.0,7.0,2.69,23.0
2025-01-08,139,轻度污染,106.0,129.0,45.0,8.0,1.73,33.0
2025-01-09,105,轻度污染,79.0,99.0,43.0,8.0,1.37,38.0
2025-01-10,98,良,73.0,94.0,43.0,8.0,1.23,33.0
2025-01-11,86,良,64.0,88.0,36.0,9.0,1.09,44.0
2025-01-12,84,良,62.0,82.0,39.0,8.0,1.07,45.0
2025-01-13,110,轻度污染,83.0,106.0,46.0,9.0,1.49,38.0
2025-01-14,108,轻度污染,81.0,113.0,41.0,7.0,1.39,43.0
2025-01-15,79,良,58.0,86.0,39.0,6.0,1.13,34.0
2025-01-16,79,良,58.0,80.0,35.0,7.0,1.1,42.0
2025-01-17,122,轻度污染,93.0,113.0,50.0,7.0,1.45,21.0
2025-01-18,148,轻度污染,113.0,130.0,48.0,9.0,1.77,38.0
2025-01-19,110,轻度污染,83.0,98.0,42.0,8.0,1.6,41.0
2025-01-20,120,轻度污染,91.0,102.0,39.0,8.0,1.7,45.0
2025-01-21,135,轻度污染,103.0,115.0,42.0,7.0,1.73,33.0
2025-01-22,201,重度污染,151.0,161.0,49.0,6.0,2.05,15.0
2025-01-23,257,重度污染,207.0,219.0,46.0,7.0,2.26,25.0
2025-01-24,134,轻度污染,102.0,106.0,18.0,5.0,1.34,73.0
2025-01-25,36,优,20.0,36.0,11.0,4.0,0.83,67.0
2025-01-26,67,良,28.0,84.0,11.0,5.0,0.35,74.0
2025-01-27,76,良,55.0,102.0,18.0,7.0,0.87,55.0
2025-01-28,119,轻度污染,90.0,119.0,20.0,9.0,1.09,59.0
2025-01-29,223,重度污染,173.0,202.0,22.0,11.0,1.54,40.0
2025-01-30,232,重度污染,182.0,197.0,30.0,12.0,2.22,22.0
2025-01-31,141,轻度污染,108.0,104.0,17.0,6.0,1.51,26.0
2025-02-01,79,良,58.0,60.0,16.0,5.0,1.34,35.0
2025-02-02,54,良,38.0,41.0,14.0,5.0,0.85,50.0
2025-02-03,43,优,30.0,41.0,13.0,5.0,0.57,58.0
2025-02-04,74,良,54.0,63.0,24.0,6.0,1.02,29.0
2025-02-05,89,良,66.0,77.0,22.0,6.0,1.08,38.0
2025-02-06,62,良,45.0,58.0,21.0,7.0,0.88,48.0
2025-02-07,53,良,33.0,56.0,18.0,6.0,0.65,52.0
2025-02-08,75,良,29.0,100.0,10.0,5.0,0.4,66.0
2025-02-09,78,良,55.0,107.0,23.0,6.0,0.81,43.0
2025-02-10,84,良,62.0,90.0,27.0,7.0,1.02,41.0
2025-02-11,80,良,59.0,83.0,25.0,6.0,1.07,42.0
2025-02-12,61,良,26.0,72.0,11.0,5.0,0.45,81.0
2025-02-13,62,良,44.0,74.0,25.0,7.0,0.78,46.0
2025-02-14,58,良,41.0,63.0,24.0,6.0,0.86,44.0
2025-02-15,55,良,39.0,57.0,28.0,7.0,1.03,41.0
2025-02-16,62,良,45.0,65.0,33.0,7.0,1.06,47.0
2025-02-17,66,良,48.0,63.0,33.0,7.0,1.04,42.0
2025-02-18,58,良,41.0,54.0,23.0,5.0,0.98,44.0
2025-02-19,61,良,44.0,53.0,23.0,6.0,1.0,50.0
2025-02-20,94,良,70.0,74.0,17.0,4.0,0.93,64.0
2025-02-21,125,轻度污染,95.0,101.0,24.0,5.0,1.06,47.0
2025-02-22,92,良,69.0,72.0,17.0,4.0,0.87,58.0
2025-02-23,51,良,36.0,39.0,15.0,5.0,0.75,71.0
2025-02-24,69,良,50.0,55.0,23.0,5.0,0.91,42.0
2025-02-25,64,良,46.0,57.0,21.0,5.0,0.99,45.0
2025-02-26,49,优,34.0,46.0,24.0,6.0,0.96,49.0
2025-02-27,54,良,38.0,49.0,24.0,6.0,1.0,49.0
2025-02-28,81,良,60.0,76.0,38.0,11.0,1.34,28.0
2025-03-01,111,轻度污染,84.0,102.0,42.0,9.0,1.64,14.0
2025-03-02,61,良,44.0,66.0,24.0,5.0,1.2,40.0
2025-03-03,34,优,18.0,19.0,13.0,5.0,0.92,59.0
2025-03-04,41,优,10.0,10.0,11.0,5.0,0.88,68.0
2025-03-05,30,优,16.0,19.0,17.0,5.0,0.91,51.0
2025-03-06,34,优,24.0,34.0,19.0,6.0,0.92,51.0
2025-03-07,46,优,32.0,42.0,23.0,7.0,0.96,51.0
2025-03-08,54,良,37.0,59.0,30.0,6.0,0.94,29.0
2025-03-09,62,良,45.0,71.0,26.0,7.0,1.02,42.0
2025-03-10,49,优,34.0,49.0,27.0,7.0,0.95,43.0
2025-03-11,58,良,37.0,67.0,30.0,7.0,1.07,45.0
2025-03-12,90,良,49.0,131.0,27.0,7.0,0.96,40.0
2025-03-13,51,良,31.0,52.0,14.0,5.0,0.8,57.0
2025-03-14,38,优,23.0,32.0,16.0,5.0,0.75,59.0
2025-03-15,58,良,25.0,66.0,13.0,5.0,0.6,63.0
2025-03-16,51,良,22.0,52.0,16.0,5.0,0.53,62.0
2025-03-17,54,良,31.0,58.0,28.0,8.0,0.82,47.0
2025-03-18,50,优,34.0,51.0,29.0,7.0,0.8,53.0
2025-03-19,48,优,33.0,48.0,32.0,8.0,0.85,55.0
2025-03-20,54,良,38.0,54.0,29.0,8.0,0.77,62.0
2025-03-21,53,良,34.0,56.0,24.0,8.0,0.73,66.0
2025-03-22,54,良,37.0,59.0,28.0,10.0,0.82,59.0
2025-03-23,58,良,32.0,65.0,23.0,6.0,0.63,71.0
2025-03-24,60,良,38.0,63.0,22.0,7.0,0.63,88.0
2025-03-25,72,良,33.0,55.0,26.0,7.0,0.72,90.0
2025-03-26,69,良,41.0,69.0,31.0,8.0,0.79,86.0
2025-03-27,217,重度污染,91.0,362.0,10.0,5.0,0.49,83.0
2025-03-28,73,良,39.0,96.0,9.0,5.0,0.54,77.0
2025-03-29,62,良,34.0,75.0,13.0,5.0,0.55,56.0
2025-03-30,57,良,28.0,64.0,16.0,6.0,0.6,62.0
2025-03-31,35,优,20.0,35.0,16.0,7.0,0.66,54.0
2025-04-01,58,良,32.0,67.0,28.0,10.0,0.82,46.0
2025-04-02,76,良,43.0,101.0,25.0,8.0,0.77,54.0
2025-04-03,74,良,42.0,97.0,23.0,7.0,0.74,70.0
2025-04-04,63,良,36.0,76.0,22.0,7.0,0.67,70.0
2025-04-05,86,良,42.0,121.0,21.0,7.0,0.58,76.0
2025-04-06,62,良,32.0,65.0,12.0,8.0,0.6,96.0
2025-04-07,63,良,30.0,61.0,16.0,7.0,0.58,93.0
2025-04-08,62,良,30.0,74.0,18.0,8.0,0.59,90.0
2025-04-09,68,良,35.0,87.0,22.0,9.0,0.61,81.0
2025-04-10,67,良,36.0,80.0,16.0,6.0,0.56,92.0
2025-04-11,74,良,37.0,99.0,23.0,9.0,0.81,63.0
2025-04-12,300,重度污染,324.0,1302.0,8.0,4.0,0.43,84.0
2025-04-13,224,重度污染,147.0,367.0,16.0,5.0,0.6,65.0
2025-04-14,82,良,55.0,113.0,16.0,6.0,0.7,74.0
2025-04-15,60,良,33.0,70.0,27.0,8.0,0.83,58.0
2025-04-16,64,良,34.0,79.0,22.0,8.0,0.85,84.0
2025-04-17,76,良,35.0,95.0,12.0,7.0,0.76,118.0
2025-04-18,93,良,52.0,136.0,18.0,6.0,0.65,106.0
2025-04-19,104,轻度污染,69.0,159.0,16.0,6.0,0.64,95.0
2025-04-20,66,良,36.0,64.0,13.0,4.0,0.7,96.0
2025-04-21,56,良,32.0,62.0,10.0,4.0,0.65,74.0
2025-04-22,74,良,36.0,97.0,16.0,5.0,0.63,44.0
2025-04-23,84,良,51.0,117.0,19.0,8.0,0.74,74.0
2025-04-24,59,良,35.0,68.0,21.0,9.0,0.75,81.0
2025-04-25,57,良,26.0,57.0,20.0,7.0,0.67,75.0
2025-04-26,45,优,24.0,45.0,17.0,6.0,0.75,55.0
2025-04-27,41,优,21.0,38.0,15.0,5.0,0.65,57.0
2025-04-28,48,优,21.0,47.0,17.0,6.0,0.63,73.0
2025-04-29,52,良,23.0,54.0,24.0,9.0,0.78,60.0
2025-04-30,58,良,19.0,41.0,11.0,6.0,0.61,94.0
2025-05-01,63,良,23.0,70.0,11.0,7.0,0.61,102.0
2025-05-02,85,良,28.0,65.0,12.0,6.0,0.58,114.0
2025-05-03,84,良,36.0,118.0,8.0,4.0,0.46,101.0
2025-05-04,64,良,32.0,66.0,7.0,5.0,0.59,105.0
2025-05-05,56,良,21.0,50.0,9.0,6.0,0.48,90.0
2025-05-06,70,良,33.0,91.0,12.0,7.0,0.6,80.0
2025-05-07,67,良,21.0,37.0,10.0,6.0,0.55,97.0
2025-05-08,52,良,17.0,36.0,8.0,5.0,0.61,79.0
2025-05-09,100,良,41.0,150.0,7.0,5.0,0.29,86.0
2025-05-10,57,良,25.0,50.0,13.0,8.0,0.4,85.0
2025-05-11,67,良,28.0,60.0,13.0,6.0,0.42,94.0
2025-05-12,81,良,33.0,60.0,15.0,7.0,0.55,107.0
2025-05-13,62,良,23.0,40.0,11.0,5.0,0.55,92.0
2025-05-14,52,良,24.0,55.0,14.0,5.0,0.53,60.0
2025-05-15,60,良,31.0,71.0,15.0,5.0,0.48,74.0
2025-05-16,70,良,38.0,76.0,17.0,7.0,0.75,93.0
2025-05-17,75,良,46.0,87.0,15.0,9.0,0.86,96.0
2025-05-18,74,良,37.0,69.0,13.0,8.0,0.84,98.0
2025-05-19,82,良,54.0,92.0,17.0,6.0,0.79,106.0
2025-05-20,94,良,58.0,90.0,16.0,7.0,0.8,117.0
2025-05-21,89,良,64.0,93.0,18.0,7.0,0.84,107.0
2025-05-22,62,良,36.0,73.0,8.0,5.0,0.53,93.0
2025-05-23,66,良,40.0,81.0,11.0,6.0,0.51,82.0
2025-05-24,67,良,32.0,46.0,12.0,6.0,0.54,98.0
2025-05-25,75,良,30.0,49.0,9.0,6.0,0.54,110.0
2025-05-26,66,良,27.0,45.0,8.0,5.0,0.59,101.0
2025-05-27,52,良,17.0,23.0,8.0,5.0,0.57,84.0
2025-05-28,49,优,18.0,31.0,11.0,5.0,0.57,71.0
2025-05-29,56,良,20.0,33.0,11.0,6.0,0.54,83.0
2025-05-30,51,良,20.0,34.0,11.0,6.0,0.6,80.0
2025-05-31,40,优,9.0,19.0,6.0,5.0,0.53,65.0
2025-06-01,50,优,7.0,14.0,6.0,4.0,0.59,64.0
2025-06-02,37,优,13.0,28.0,11.0,5.0,0.56,63.0
2025-06-03,48,优,22.0,48.0,15.0,5.0,0.71,44.0
2025-06-04,51,良,23.0,52.0,17.0,5.0,0.65,47.0
2025-06-05,46,优,17.0,34.0,12.0,5.0,0.52,72.0
2025-06-06,48,优,22.0,43.0,15.0,7.0,0.73,60.0
2025-06-07,36,优,15.0,27.0,11.0,4.0,0.59,55.0
2025-06-08,47,优,14.0,29.0,10.0,5.0,0.55,70.0
2025-06-09,64,良,15.0,27.0,10.0,5.0,0.51,84.0
2025-06-10,52,良,15.0,33.0,14.0,6.0,0.56,73.0
2025-06-11,72,良,15.0,32.0,11.0,5.0,0.45,101.0
2025-06-12,80,良,21.0,37.0,14.0,6.0,0.49,104.0
2025-06-13,86,良,26.0,43.0,13.0,6.0,0.5,110.0
2025-06-14,66,良,17.0,33.0,9.0,6.0,0.47,92.0
2025-06-15,86,良,35.0,86.0,10.0,6.0,0.41,120.0
2025-06-16,73,良,24.0,56.0,12.0,7.0,0.47,99.0
2025-06-17,75,良,18.0,40.0,13.0,6.0,0.43,94.0
2025-06-18,53,良,11.0,20.0,5.0,5.0,0.45,88.0
2025-06-19,42,优,14.0,28.0,11.0,7.0,0.64,63.0
2025-06-20,43,优,21.0,43.0,16.0,6.0,0.68,53.0
2025-06-21,46,优,14.0,23.0,9.0,5.0,0.55,76.0
2025-06-22,50,优,13.0,25.0,11.0,7.0,0.76,77.0
2025-06-23,57,良,14.0,24.0,11.0,7.0,0.55,88.0
2025-06-24,57,良,12.0,25.0,14.0,6.0,0.55,81.0
2025-06-25,53,良,9.0,20.0,6.0,5.0,0.55,89.0
2025-06-26,52,良,7.0,19.0,10.0,5.0,0.5,76.0
2025-06-27,53,良,11.0,24.0,12.0,5.0,0.56,73.0
2025-06-28,60,良,14.0,25.0,12.0,5.0,0.55,87.0
2025-06-29,60,良,15.0,26.0,14.0,5.0,0.53,82.0
2025-06-30,43,优,6.0,10.0,6.0,5.0,0.55,69.0
2025-07-01,35,优,4.0,16.0,7.0,5.0,0.5,47.0
2025-07-02,26,优,5.0,14.0,10.0,5.0,0.51,34.0
2025-07-03,29,优,10.0,29.0,18.0,6.0,0.7,25.0
2025-07-04,32,优,9.0,23.0,13.0,5.0,0.53,48.0
2025-07-05,48,优,6.0,14.0,11.0,5.0,0.43,84.0
2025-07-06,35,优,9.0,16.0,10.0,5.0,0.52,49.0
