日期,AQI,质量等级,PM2.5,PM10,NO2,SO2,CO,O3,IAQI_PM25,IAQI_PM10,IAQI_O3,IAQI_NO2,IAQI_SO2,IAQI_CO,首要污染物
2025-01-01,153,中度污染,117.0,127.0,48.0,7.0,1.75,41.0,152.85714285714286,88.5,41.0,60.0,7.0,43.75,PM2.5
2025-01-02,132,轻度污染,101.0,116.0,44.0,6.0,1.55,43.0,132.5,83.0,43.0,55.0,6.0,38.75,PM2.5
2025-01-03,118,轻度污染,89.0,106.0,45.0,7.0,1.45,24.0,117.5,78.0,24.0,56.25,7.0,36.25,PM2.5
2025-01-04,189,中度污染,142.0,149.0,45.0,6.0,1.87,17.0,188.57142857142856,99.5,17.0,56.25,6.0,46.75,PM2.5
2025-01-05,217,重度污染,167.0,169.0,39.0,4.0,2.02,21.0,217.0,109.5,21.0,48.75,4.0,50.5,PM2.5
2025-01-06,249,重度污染,199.0,209.0,44.0,5.0,2.48,13.0,249.0,129.5,13.0,55.0,5.0,62.0,PM2.5
2025-01-07,242,重度污染,192.0,212.0,53.0,7.0,2.69,23.0,242.0,131.0,23.0,66.25,7.0,67.25,PM2.5
2025-01-08,139,轻度污染,106.0,129.0,45.0,8.0,1.73,33.0,138.75,89.5,33.0,56.25,8.0,43.25,PM2.5
2025-01-09,105,轻度污染,79.0,99.0,43.0,8.0,1.37,38.0,105.0,74.5,38.0,53.75,8.0,34.25,PM2.5
2025-01-10,98,良,73.0,94.0,43.0,8.0,1.23,33.0,97.5,72.0,33.0,53.75,8.0,30.75,PM2.5
2025-01-11,86,良,64.0,88.0,36.0,9.0,1.09,44.0,86.25,69.0,44.0,45.0,9.0,27.250000000000004,PM2.5
2025-01-12,84,良,62.0,82.0,39.0,8.0,1.07,45.0,83.75,66.0,45.0,48.75,8.0,26.75,PM2.5
2025-01-13,110,轻度污染,83.0,106.0,46.0,9.0,1.49,38.0,110.0,78.0,38.0,57.5,9.0,37.25,PM2.5
2025-01-14,108,轻度污染,81.0,113.0,41.0,7.0,1.39,43.0,107.5,81.5,43.0,51.25,7.0,34.75,PM2.5
2025-01-15,79,良,58.0,86.0,39.0,6.0,1.13,34.0,78.75,68.0,34.0,48.75,6.0,28.249999999999996,PM2.5
2025-01-16,79,良,58.0,80.0,35.0,7.0,1.1,42.0,78.75,65.0,42.0,43.75,7.0,27.500000000000004,PM2.5
2025-01-17,122,轻度污染,93.0,113.0,50.0,7.0,1.45,21.0,122.5,81.5,21.0,62.5,7.0,36.25,PM2.5
2025-01-18,148,轻度污染,113.0,130.0,48.0,9.0,1.77,38.0,147.5,90.0,38.0,60.0,9.0,44.25,PM2.5
2025-01-19,110,轻度污染,83.0,98.0,42.0,8.0,1.6,41.0,110.0,74.0,41.0,52.5,8.0,40.0,PM2.5
2025-01-20,120,轻度污染,91.0,102.0,39.0,8.0,1.7,45.0,120.0,76.0,45.0,48.75,8.0,42.5,PM2.5
2025-01-21,135,轻度污染,103.0,115.0,42.0,7.0,1.73,33.0,135.0,82.5,33.0,52.5,7.0,43.25,PM2.5
2025-01-22,201,重度污染,151.0,161.0,49.0,6.0,2.05,15.0,201.0,105.5,15.0,61.25,6.0,51.24999999999999,PM2.5
2025-01-23,257,重度污染,207.0,219.0,46.0,7.0,2.26,25.0,257.0,134.5,25.0,57.5,7.0,56.49999999999999,PM2.5
2025-01-24,134,轻度污染,102.0,106.0,18.0,5.0,1.34,73.0,133.75,78.0,73.0,22.5,5.0,33.5,PM2.5
2025-01-25,36,优,20.0,36.0,11.0,4.0,0.83,67.0,28.571428571428573,36.0,67.0,13.75,4.0,20.75,O3
2025-01-26,67,良,28.0,84.0,11.0,5.0,0.35,74.0,40.0,67.0,74.0,13.75,5.0,8.75,O3
2025-01-27,76,良,55.0,102.0,18.0,7.0,0.87,55.0,75.0,76.0,55.0,22.5,7.0,21.75,PM10
2025-01-28,119,轻度污染,90.0,119.0,20.0,9.0,1.09,59.0,118.75,84.5,59.0,25.0,9.0,27.250000000000004,PM2.5
2025-01-29,223,重度污染,173.0,202.0,22.0,11.0,1.54,40.0,223.0,126.0,40.0,27.5,11.0,38.5,PM2.5
2025-01-30,232,重度污染,182.0,197.0,30.0,12.0,2.22,22.0,232.0,123.5,22.0,37.5,12.0,55.50000000000001,PM2.5
2025-01-31,141,轻度污染,108.0,104.0,17.0,6.0,1.51,26.0,141.25,77.0,26.0,21.25,6.0,37.75,PM2.5
2025-02-01,79,良,58.0,60.0,16.0,5.0,1.34,35.0,78.75,55.0,35.0,20.0,5.0,33.5,PM2.5
2025-02-02,54,良,38.0,41.0,14.0,5.0,0.85,50.0,53.75,41.0,50.0,17.5,5.0,21.25,PM2.5
